,covariance,beta1,beta2,p,pca_coef,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,true_val_coef,pca_ape,mismeasured_coef_ape,mismeasured_allvar_coef_ape,mismeasured_avg_coef_ape
0,-1.0,0.1,0.1,5,0.004190688689280434,0.0036792566327967786,0.006600985843543553,0.009776643587808066,-0.0029529010190006743,0.9580931131071957,0.9632074336720322,0.9339901415645644,0.9022335641219194
1,-1.0,0.1,0.1,10,-0.06085581094948982,-0.013971835141312583,-0.05705740438869169,-0.05128885493609532,-0.00899299377645601,1.6085581094948982,1.139718351413126,1.570574043886917,1.5128885493609534
2,-1.0,0.1,0.1,20,0.05197161844916543,0.05072552451114541,0.021516557061819642,0.05439350149252613,0.01183383145388071,0.4802838155083457,0.4927447548885459,0.7848344293818036,0.45606498507473875
3,-1.0,0.1,0.1,50,-0.05739181654277953,-0.028408099905579243,-0.002384133978156794,-0.06749720656392717,-0.004770552053502697,1.5739181654277952,1.2840809990557924,1.0238413397815678,1.674972065639272
4,-1.0,0.1,1.0,5,-0.8660659815399672,-0.8934525417091193,-0.8624734295700662,-0.8686080056654306,-0.44511189942291784,9.66065981539967,9.934525417091193,9.624734295700662,9.686080056654305
5,-1.0,0.1,1.0,10,-0.9138234007216908,-0.8941794833362893,-0.9283811813673891,-0.9328521751586676,-0.45508741921394924,10.138234007216909,9.941794833362891,10.283811813673891,10.328521751586676
6,-1.0,0.1,1.0,20,-0.9296189019071132,-0.906030328151443,-0.9008691826198207,-0.9200902889332315,-0.45036961777344525,10.29618901907113,10.06030328151443,10.008691826198207,10.200902889332314
7,-1.0,0.1,1.0,50,-0.8543223998715576,-0.8946159244548113,-0.8449742338658652,-0.8498713796825341,-0.4449263591067946,9.543223998715575,9.946159244548113,9.449742338658652,9.49871379682534
8,-1.0,0.1,10.0,5,-9.891756908317106,-9.907341047133128,-9.900416787275176,-9.894262377906774,-4.950188509966517,99.91756908317105,100.07341047133127,100.00416787275175,99.94262377906773
9,-1.0,0.1,10.0,10,-9.886040019633116,-9.885386737053386,-9.908303802506023,-9.89689143398502,-4.94432371772364,99.86040019633116,99.85386737053385,100.08303802506022,99.9689143398502
10,-1.0,0.1,10.0,20,-9.91356719136757,-9.896273588033107,-9.903223104015094,-9.921610638800646,-4.947740325840228,100.13567191367568,99.96273588033107,100.03223104015093,100.21610638800645
11,-1.0,0.1,10.0,50,-9.890136333351457,-9.88947094835644,-9.877044046417804,-9.818508425986716,-4.941000761866126,99.90136333351455,99.89470948356438,99.77044046417804,99.18508425986715
12,-1.0,0.1,100.0,5,-99.90627764197829,-99.9025498424321,-99.89479242853108,-99.90078269116322,-49.94926199707774,1000.0627764197828,1000.0254984243209,999.9479242853107,1000.007826911632
13,-1.0,0.1,100.0,10,-99.95829588284649,-99.90698005777304,-99.98494594614539,-99.97536116495823,-49.95288600704687,1000.5829588284647,1000.0698005777303,1000.8494594614538,1000.7536116495822
14,-1.0,0.1,100.0,20,-99.95017613023248,-99.92809284130243,-99.95684849822867,-99.96928202722479,-49.96184198669884,1000.5017613023247,1000.2809284130242,1000.5684849822866,1000.6928202722478
15,-1.0,0.1,100.0,50,-99.92103286422955,-99.89282877795067,-99.90852300290334,-99.8904524608413,-49.947083292205924,1000.2103286422954,999.9282877795066,1000.0852300290333,999.9045246084129
16,-1.0,1.0,0.1,5,0.9105674811478446,0.8893802144680365,0.9096655945156544,0.9084802522594195,0.44654022566786034,0.08943251885215542,0.1106197855319635,0.09033440548434557,0.09151974774058047
17,-1.0,1.0,0.1,10,0.8430300788710299,0.8792000112904659,0.8255306911299468,0.8244996547294622,0.44043772961612604,0.15696992112897012,0.12079998870953412,0.17446930887005319,0.17550034527053782
18,-1.0,1.0,0.1,20,0.9164808987197073,0.9198066116785631,0.9125407167018004,0.9308229142937546,0.4553826755071671,0.08351910128029272,0.08019338832143685,0.08745928329819963,0.06917708570624537
19,-1.0,1.0,0.1,50,0.8298961219267817,0.9016918138829876,0.7669918634922738,0.7965121839014654,0.44898244015828487,0.17010387807321825,0.09830818611701242,0.23300813650772623,0.2034878160985346
20,-1.0,1.0,1.0,5,-0.013815731314792079,0.002229940446145584,-0.006546401152359906,-0.014456351056411819,1.7525184219959744e-05,1.013815731314792,0.9977700595538544,1.00654640115236,1.0144563510564117
21,-1.0,1.0,1.0,10,0.02488026659217957,0.009451052418544641,0.004382630302494697,0.009826561147939155,0.00033402763924369116,0.9751197334078204,0.9905489475814554,0.9956173696975053,0.9901734388520609
22,-1.0,1.0,1.0,20,-0.021377737430978927,-0.014378978594650817,-0.042118093242000096,-0.033905379433463764,-0.0031613812993943834,1.021377737430979,1.0143789785946509,1.042118093242,1.0339053794334638
23,-1.0,1.0,1.0,50,-0.04034789538974887,-0.008019397437248171,-0.03232436285225717,-0.012920097529259024,-0.004216026340261209,1.040347895389749,1.0080193974372482,1.0323243628522571,1.012920097529259
