,covariance,beta1,beta2,p,pca_coef,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,true_val_coef,pca_ape,mismeasured_coef_ape,mismeasured_allvar_coef_ape,mismeasured_avg_coef_ape
124,-0.75,100.0,100.0,5,5.452696651739846,6.808388541439799,5.327232363613033,5.071366736020107,0.16194417370023811,0.9454730334826016,0.9319161145856021,0.9467276763638697,0.9492863326397989
125,-0.75,100.0,100.0,10,4.272035092235603,6.176964102017789,4.293374455999271,4.040119781911799,0.15429528284422897,0.9572796490776441,0.9382303589798221,0.9570662554400073,0.959598802180882
126,-0.75,100.0,100.0,20,3.757660689504101,6.231714119077975,3.2393055132573734,2.7959664623383835,0.14309878353826974,0.962423393104959,0.9376828588092202,0.9676069448674263,0.9720403353766162
127,-0.75,100.0,100.0,50,2.8888985636556086,6.376375171050951,2.9090909635607036,2.186528869472428,0.15549158857989695,0.9711110143634439,0.9362362482894905,0.970909090364393,0.9781347113052757
128,-0.5,0.1,0.1,5,0.1028956234940128,0.10589201240831782,0.10494217787481523,0.1044766585790436,0.10859147589828427,0.02895623494012789,0.05892012408317812,0.04942177874815226,0.04476658579043599
129,-0.5,0.1,0.1,10,0.11663195114680378,0.10891057728789469,0.12508272519171473,0.11747077050739903,0.11868706429579853,0.1663195114680377,0.08910577287894683,0.2508272519171473,0.17470770507399022
130,-0.5,0.1,0.1,20,0.10176123468043549,0.09446076919359778,0.11330680355047254,0.10295959613067471,0.10226046751541257,0.01761234680435486,0.05539230806402229,0.13306803550472535,0.02959596130674702
131,-0.5,0.1,0.1,50,0.11236058016907043,0.10707869984428894,0.16155510309999374,0.11289512759844501,0.11195350857892336,0.1236058016907042,0.07078699844288938,0.6155510309999374,0.12895127598445008
132,-0.5,0.1,1.0,5,0.10693683565117643,0.1139406774440231,0.10935322272864187,0.10528659668061016,0.1058716719416231,0.0693683565117642,0.13940677444023095,0.09353222728641863,0.05286596680610156
133,-0.5,0.1,1.0,10,0.1279036021850426,0.12610303678360044,0.13174422557867155,0.126229323564469,0.11955942902312242,0.2790360218504259,0.2610303678360043,0.3174422557867154,0.26229323564469
134,-0.5,0.1,1.0,20,0.11661387645078314,0.1227146140531038,0.14369804709634612,0.11842278592375619,0.11741010900113313,0.16613876450783133,0.22714614053103793,0.43698047096346115,0.1842278592375618
