beta1,beta2,covariance,p,me_cov
0.1,1.0,0.5,5,0.0
0.1,1.0,0.5,5,0.5
1.0,0.1,0.5,5,0.0
1.0,0.1,0.5,5,0.5
1.0,1.0,-0.9,5,0.0
1.0,1.0,-0.9,5,0.5
1.0,1.0,-0.5,5,0.0
1.0,1.0,-0.5,5,0.5
1.0,1.0,0.0,5,0.0
1.0,1.0,0.0,5,0.5
1.0,1.0,0.5,5,0.0
1.0,1.0,0.5,5,0.5
1.0,1.0,0.5,20,0.0
1.0,1.0,0.5,20,0.5
1.0,1.0,0.5,50,0.0
1.0,1.0,0.5,50,0.5
1.0,1.0,0.9,5,0.0
1.0,1.0,0.9,5,0.5
1.0,10.0,0.5,5,0.0
1.0,10.0,0.5,5,0.5
10.0,1.0,0.5,5,0.0
10.0,1.0,0.5,5,0.5
