Coeff,mean_coeff
(Intercept),0.0022751021145756686
Afghanistan,0.008063474028813253
Albania,0.012428179529732377
Algeria,0.0011996758205578856
Angola,0.001850570466777558
Argentina,0.0325334920501228
Armenia,0.0038564735076113093
Australia,0.07818841024027405
Austria,0.02328550713660382
Azerbaijan,6.206574573363633e-4
Bahrain,0.003996491414363729
Bangladesh,0.009685011402968983
Belarus,0.004340337128209288
Belgium,0.00810979676911509
Belize,0.015790489128594997
Benin,0.006749446431350341
Bolivia,0.045225142598955555
Botswana,0.007819023654427609
Brazil,0.02613909650979633
Brunei,0.0016095279699904013
Bulgaria,0.003419961934630034
Burkina Faso,0.0024868200695965428
Burundi,0.003990427946596843
Cambodia,0.0025030983997310647
Cameroon,0.026391497774261884
Canada,0.019083440053558505
Cape Verde,0.045647288507505775
Central African Rep.,0.001690101443421596
Chad,-5.413863224994248e-4
Chile,0.0048758883610730925
China,0.003700401708539422
Colombia,0.0013659424831215963
"Congo, Dem. Rep.",0.0017719463550758237
"Congo, Repubic of",0.005306006117511674
Costa Rica,0
Côte d’Ivoire,-0.00498913932769633
Croatia,0.00478315998470368
Cyprus,0.003954894306696466
Czechia,0.003059985625795518
Denmark,0.0055521041885295275
Dominican Rep.,-0.014179978313060905
Ecuador,0.00610311109699685
Egypt,0.0038550848012434314
El Salvador,1.9888603847919222e-4
Estonia,-0.02499115403863385
eSwatini,-0.0021558140545213152
Ethiopia,0.0016537113929812925
Fiji,0.01584706591566213
Finland,0.007275076335475587
France,0.006163735141614619
Gabon,0.006933762964277663
Gambia,0.006842894735388352
Germany,0.01571431003391683
Ghana,0.007110153154747569
Greece,0.009106220517321217
Guatemala,0.0019502306871039164
Guinea,-0.0026786155311965764
Guinea-Bissau,0.0013768738671417259
Guyana,0.005124463448083364
Haiti,0.03903520934488625
Honduras,0.003543393105478423
Hungary,0.00920688752124471
India,0.023796437411484413
Indonesia,0.010583701548539104
Iran,9.826528741118021e-4
Iraq,0.007545113665439502
Ireland,0.01376381186694485
Israel,0.0030386664568130047
Italy,0.0037099183965209575
Jamaica,-4.8652625594227116e-4
Japan,0.260085653771026
Jordan,-0.006292551065579091
Kazakhstan,0.019921213205939155
Kenya,-0.019039014346831692
"Korea, South",-0.00544047357794479
Kuwait,3.817616106554046e-4
Kyrgyzstan,0.010394243171176721
Latvia,-0.0028123927018639484
Lebanon,0.0013082376816283474
Lesotho,-0.001245893482466419
Liberia,4.2974338558570123e-4
Lithuania,0.0019708644034132743
Luxembourg,-0.03723450953721447
Madagascar,0.00932312262216083
Malawi,-0.005589260287415196
Malaysia,0.004941120503820758
Mali,0.006927466917444629
Malta,-0.01393503347900475
Mauritania,-1.0891371844977724e-4
Mauritius,0.19806323149788693
Mexico,0.08711333239284559
Moldova,0.01762429041072719
Mongolia,0.010424337547290838
Morocco,-0.00982398749817131
Mozambique,-0.002379800196477161
Myanmar,0.0020437026574013943
Namibia,-7.354592928657427e-4
Nepal,-0.025811246443051647
Netherlands,0.008622797372770778
New Zealand,0.014476568868621401
Nicaragua,0.003544126040603301
Niger,-2.851411939616229e-4
Nigeria,0.005675726008717595
Norway,0.028958321645982315
Oman,0.0013560923085474581
Pakistan,0.007405822159591808
Panama,0.022551662929087092
Papua New Guinea,0.012602755561528723
Paraguay,0.03691284614816031
Peru,0.013312845308669857
Philippines,0.005187554270679304
Poland,0.03855704548294063
Portugal,0.004120514458789484
Romania,0.0021180388854743037
Russia,0.008107445555315791
Rwanda,0.004599727260132909
Saudi Arabia,0.0026331142939948187
Senegal,0.0037893530435583254
Seychelles,-0.007828574840693773
Sierra Leone,0.006923650688566487
Singapore,0.012697874647092433
Slovakia,-0.00748307807736916
Slovenia,0.0026960877316772104
South Africa,0.03075596996515123
Spain,0.004134807519549585
Sri Lanka,9.060418948468574e-4
Sudan,-3.5973769965531806e-5
Sweden,0.0026174889617895936
Switzerland,8.43168257514554e-4
Taiwan,0.008692953147404307
Tajikistan,0.0026926163662415233
Tanzania,0.029357468024360286
Thailand,0.031721051010570135
Togo,0.010445190060142651
Trinidad & Tobago,0.007676243825209234
Tunisia,0.006530415268384991
Turkey,0.0015671770486434754
Uganda,0.0025028053501685945
UK,-0.0024342336956990358
Ukraine,0.0034447331730135347
Uruguay,0.013347231604582689
USA,0.001544119709121627
Zambia,0.008021810486228954
NA,NA
